MGT_type,Clades,Lineages,Continents_70%,Source,Temporal,Outbreak,MDR_MGT-ST
MGT5_ST3419,,,North America,,,,
MGT5_ST342,,,Europe,,,,
MGT5_ST3425,,,North America,,,,
MGT5_ST343,,,Europe,,,,
MGT5_ST3441,,,,,,,
MGT5_ST345,,,Europe,,,,
MGT5_ST347,,,North America,,,,
MGT5_ST3486,,,North America,,,,
MGT5_ST349,,,North America,,,,
MGT5_ST35,,,Europe,,,,
MGT5_ST3518,,,,,,,MGT5_ST3518
MGT5_ST354,,,North America,,,,
MGT5_ST360,,,North America,,,,
MGT5_ST361,,,North America,,,,
MGT5_ST363,,,Europe,,,,
MGT5_ST364,,,North America,,,,
MGT5_ST365,,,North America,,,,
MGT5_ST3676,,,North America,,,,
MGT5_ST3679,,,North America,,,,
MGT5_ST3682,,,North America,,,,
MGT5_ST3696,,,North America,,,,
MGT5_ST371,,,North America,,,,
MGT5_ST375,,,South America,,,,
MGT5_ST377,,,South America,,,,
MGT5_ST379,,,North America,,,,
MGT5_ST380,,,North America,,,,
MGT5_ST3825,,,North America,,,,
MGT5_ST384,,,North America,,,,
MGT5_ST386,,,North America,,,,
MGT5_ST387,,,North America,,,,
MGT5_ST39,,,Europe,,,,
MGT5_ST390,,,North America,,,,
MGT5_ST391,,,North America,,,,
MGT5_ST393,,,North America,,,,
MGT5_ST402,,,North America,,,,
MGT5_ST403,,,Africa,,,,
MGT5_ST405,,,North America,,,,
MGT5_ST412,,,North America,,,,
MGT5_ST414,,,North America,,,,
MGT5_ST416,,,Europe,,,,
MGT5_ST42,,,Europe,,,,
MGT5_ST420,,,Europe,,,,
MGT5_ST423,,,Europe,,,,
MGT5_ST425,,,,,,,
MGT5_ST427,,,Europe,,,,
MGT5_ST457,,,North America,,,,
MGT5_ST458,,,North America,,,,
MGT5_ST473,,,North America,,,,
MGT5_ST474,,,North America,,,,
MGT5_ST475,,,North America,,,,
MGT5_ST488,,,North America,,,,
MGT5_ST490,,,North America,,,,
MGT5_ST528,,,South America,,,,
MGT5_ST535,,,South America,,,,
MGT5_ST542,,,Europe,,,,
MGT5_ST543,,,,,,,MGT5_ST543
MGT5_ST544,,,Europe,,,,
MGT5_ST545,,,Europe,,,,
MGT5_ST546,,,Europe,,,,
MGT5_ST55,,,Europe,,,,
MGT5_ST559,,,Europe,,,,
MGT5_ST565,,,North America,,,,
MGT5_ST573,,,Europe,,,,
MGT5_ST578,,,Europe,,,,
MGT5_ST579,,,Europe,,,,
MGT5_ST591,,,Europe,,,,
MGT5_ST614,,,North America,,,,
MGT5_ST619,,,North America,,,,
MGT5_ST620,,,North America,,,,
MGT5_ST622,,,North America,,,,
MGT5_ST626,,,North America,,,,
MGT5_ST631,,,North America,,,,
MGT5_ST647,,,North America,,,,
MGT5_ST656,,,North America,,,,
MGT5_ST674,,,North America,,,,
MGT5_ST679,,,,,,,
MGT5_ST68,,,Oceania,,,,
MGT5_ST682,,,North America,,,,MGT5_ST682
MGT5_ST687,,,,,,,
MGT5_ST693,,,North America,,,,
MGT5_ST698,,,North America,,,,
MGT5_ST711,,,Europe,,,,
MGT5_ST714,,,,,,,
MGT5_ST716,,,Europe,,,,
MGT5_ST720,,,Europe,,,,
MGT5_ST731,,,Europe,,,,
MGT5_ST734,,,Europe,,,,
MGT5_ST756,,,Europe,,,,
MGT5_ST758,,,Europe,,,,
MGT5_ST79,,,Europe,,,,
MGT5_ST791,,,Europe,,,,
MGT5_ST794,,,Europe,,,,
MGT5_ST8,,,North America,,,,
MGT5_ST80,,,Africa,,,,
MGT5_ST804,,,Europe,,,,
MGT5_ST818,,,Europe,,,,
MGT5_ST825,,,North America,,,,
MGT5_ST86,,,,,,,MGT5_ST86
MGT5_ST893,,,North America,,,,
MGT5_ST90,,,Europe,,,,
MGT5_ST912,,,Europe,,,,
MGT5_ST914,,,North America,,,,
MGT5_ST92,,,Europe,,,,
MGT5_ST934,,,Africa,,,,
MGT5_ST973,,,,,,,
MGT5_ST975,,,Africa,,,,
MGT5_ST976,,,Africa,,,,
MGT5_ST99,,,Europe,,,,
MGT6_CC1,Clade B,Global epidemic MGT4_CC1,,,,,
MGT6_ST1000,,,Europe,,,,
MGT6_ST1001,,,Europe,,,,
MGT6_ST1009,,,Europe,,,,
MGT6_ST10113,,,,,,,MGT6_ST10113
MGT6_ST1014,,,Europe,,,,
MGT6_ST1018,,,Europe,,,,
MGT6_ST1029,,,Europe,,,,
MGT6_ST1052,,,Europe,,,,
MGT6_ST1069,,,South America,,,,
MGT6_ST107,,,,,,,MGT6_ST107
MGT6_ST1087,,,Europe,,,,
MGT6_ST1091,,,Europe,,,,
MGT6_ST117,,,Europe,,,,
MGT6_ST119,,,Europe,,,,
MGT6_ST1228,,,,,,,
MGT6_ST126,,,Europe,,,,
MGT6_ST1278,,,,,,,MGT6_ST1278
MGT6_ST1323,,,Africa,,,,
MGT6_ST136,,,Africa,,,,
MGT6_ST14,,,Europe,,,,
MGT6_ST1406,,,Africa,,,,
MGT6_ST147,,,Africa,,,,
MGT6_ST149,,,Africa,,,,
MGT6_ST153,,,Europe,,,,
MGT6_ST1531,,,North America,,,,
MGT6_ST1532,,,North America,,,,
MGT6_ST1534,,,North America,,,,
MGT6_ST1536,,,North America,,,,
MGT6_ST1537,,,North America,,,,
MGT6_ST1544,,,North America,,,,
MGT6_ST1549,,,North America,,,,
MGT6_ST1551,,,North America,,,,
MGT6_ST1559,,,North America,,,,
MGT6_ST1565,,,Europe,,,,
MGT6_ST1571,,,Europe,,,,
MGT6_ST1574,,,Europe,,,,
MGT6_ST1581,,,Europe,,,,
MGT6_ST1586,,,Europe,,,,
MGT6_ST1589,,,Europe,,,,
MGT6_ST16,,,Europe,,,,
MGT6_ST1600,,,Europe,,,,
MGT6_ST1625,,,Europe,,,,
MGT6_ST1633,,,Europe,,,,
MGT6_ST1642,,,Europe,,,,
MGT6_ST1645,,,Europe,,,,
